"prodID";"prodName";"compID";"compName";"gender";"category";"size";"occasion";"material";"weight";"repeatable";"made";"warranty";"price"
22;"Dapper Vintage Watch";4;"Jewess-Schuppe Ltd";"Female";"Watch";33;"Holiday";"Aquamarines";2;"Yes";"Machine";"Yes";3615
23;"Durable Chunky Brilliant Armlet";4;"Jewess-Schuppe Ltd";"Female";"Armlet";142;"Surgery";"Crystal";4;"Yes";"Handmade";"Yes";4705
24;"Tribal Finely Detailed Armlet";4;"Jewess-Schuppe Ltd";"Female";"Armlet";229;"Graduation";"Sapphires";18;"No";"Machine";"Yes";5203
25;"Tapered Marquise-Cut Classic Necklace";5;"Bernier Group";"Female";"Necklace";429;"Engagement";"Gold";8;"No";"Machine";"Yes";8619
26;"Multi-Faceted Cute Cuff links";5;"Bernier Group";"Male";"Cuff links";37;"Engagement";"Stainless Steel";9;"No";"Machine";"No";3867
27;"Two-Tone Slip-On Rust-Resistant Hairpin";5;"Bernier Group";"Male";"Hairpin";43;"Holiday";"Lacquer";13;"Yes";"Machine";"Yes";235
28;"Flawless Nickel-Free Earrings";5;"Bernier Group";"Male";"Earrings";10;"Apology";"Stainless Steel";13;"No";"Machine";"No";5732
29;"Funky Professional Hairpin";5;"Bernier Group";"Female";"Hairpin";27;"Thank You";"Sapphires";2;"No";"Handmade";"No";9357
30;"Wear-Anywhere Tribal Locket";6;"Stroman Hammes and Kunze Inc";"Female";"Locket";34;"Just Because";"Colored Diamonds";3;"No";"Machine";"No";13757
31;"Silver-Tone Edgy Pendant";6;"Stroman Hammes and Kunze Inc";"Female";"Pendant";33;"Just Because";"Sapphires";12;"Yes";"Handmade";"Yes";6738
32;"Attention-Getting Cut-Out Reflective Belly chain";6;"Stroman Hammes and Kunze Inc";"Female";"Belly chain";609;"Engagement";"Titanium";16;"Yes";"Machine";"No";7160
33;"Tiny Dangling Circlet";6;"Stroman Hammes and Kunze Inc";"Male";"Circlet";580;"Holiday";"Sapphires";13;"Yes";"Machine";"No";6130
34;"Round-Cut Hammered Hairpin";6;"Stroman Hammes and Kunze Inc";"Male";"Hairpin";15;"Engagement";"Rose Gold";17;"No";"Machine";"No";5756
35;"Preppy Bold Bracelet";7;"Towne-Hoeger Ltd";"Male";"Bracelet";222;"Wedding";"Tanzanites";19;"Yes";"Handmade";"Yes";4545
36;"Cute Silver Belly chain";7;"Towne-Hoeger Ltd";"Female";"Belly chain";610;"Engagement";"Diamonds";8;"Yes";"Machine";"No";5668
37;"Chunky Two-Tone Ring";7;"Towne-Hoeger Ltd";"Female";"Ring";11;"Engagement";"Colored Diamonds";9;"No";"Handmade";"Yes";5298
38;"Flawless Classic Amulet";7;"Towne-Hoeger Ltd";"Male";"Amulet";44;"Wedding";"Tanzanites";4;"No";"Handmade";"No";6384
39;"Keepsake Flexible Hairpin";7;"Towne-Hoeger Ltd";"Female";"Hairpin";36;"Wedding";"Ruthenium";10;"Yes";"Machine";"No";3278
40;"Precise Finely Detailed Charm";7;"Towne-Hoeger Ltd";"Male";"Charm";35;"Holiday";"Lacquer";15;"No";"Handmade";"Yes";6685
41;"Unique Sleek Dainty Amulet";7;"Towne-Hoeger Ltd";"Female";"Amulet";34;"Baby Shower";"Platinum";17;"No";"Machine";"Yes";7684
42;"Nickel-Free Attention-Getting Ring";7;"Towne-Hoeger Ltd";"Female";"Ring";9;"Baby Shower";"Sterling Silver";19;"Yes";"Machine";"No";2436
43;"Radiant Casual Circlet";7;"Towne-Hoeger Ltd";"Female";"Circlet";557;"Holiday";"Turquoise";18;"Yes";"Machine";"Yes";5425
44;"Decorative Sparkling Princess-Cut Pendant";8;"Bayer-Powlowski";"Female";"Pendant";47;"Graduation";"Titanium";18;"Yes";"Handmade";"No";11830
45;"Costume Tapered Finely Detailed Pin";8;"Bayer-Powlowski";"Male";"Pin";31;"Engagement";"Rose Gold";13;"Yes";"Machine";"No";6332
46;"Tapered Nickel-Free Durable Pendant";8;"Bayer-Powlowski";"Male";"Pendant";18;"Promotion";"White Gold";13;"No";"Machine";"No";7344
47;"Stunning Engineered Hairpin";8;"Bayer-Powlowski";"Female";"Hairpin";29;"Surgery";"Pearls";8;"Yes";"Machine";"Yes";10250
48;"Funky Charming Adorable Amulet";8;"Bayer-Powlowski";"Female";"Amulet";41;"Promotion";"Aquamarines";3;"No";"Machine";"Yes";16722
49;"Cool Hand-Hammered Ring";8;"Bayer-Powlowski";"Male";"Ring";8;"Graduation";"Silk";3;"No";"Handmade";"No";20852
50;"Bejeweled Solid Finely Detailed Ring";8;"Bayer-Powlowski";"Male";"Ring";10;"Baby Shower";"Silk";17;"No";"Machine";"Yes";14329
51;"Textured Bejeweled Adjustable Ring";8;"Bayer-Powlowski";"Female";"Ring";13;"Holiday";"Silk";12;"Yes";"Handmade";"No";23190
52;"Dangly Nickel-Free Locket";8;"Bayer-Powlowski";"Male";"Locket";26;"Thank You";"Sapphires";16;"No";"Machine";"No";7242
53;"Charming Wardrobe-Friendly Complex Amulet";9;"Volkman-Cronin PLC";"Male";"Amulet";38;"Promotion";"Stainless Steel";8;"No";"Machine";"Yes";8380
54;"Mosaic Flirty Ornate Watch";9;"Volkman-Cronin PLC";"Male";"Watch";42;"Baby Shower";"Colored Gemstones";2;"No";"Machine";"Yes";9900
55;"Striking Studded Suspended Cuff links";9;"Volkman-Cronin PLC";"Male";"Cuff links";43;"Apology";"Diamonds";17;"Yes";"Handmade";"Yes";12648
56;"Bangle-Style Rocker-Style Circlet";9;"Volkman-Cronin PLC";"Female";"Circlet";605;"Holiday";"Turquoise";4;"No";"Machine";"Yes";14341
57;"Finely Detailed Cute Armlet";9;"Volkman-Cronin PLC";"Female";"Armlet";161;"Baby Shower";"Colored Diamonds";4;"Yes";"Machine";"No";8083
58;"Detailed Cute Hot Necklace";9;"Volkman-Cronin PLC";"Female";"Necklace";643;"Birthday";"Diamonds";15;"Yes";"Handmade";"Yes";7119
59;"Individualist Coordinating Vintage Earrings";9;"Volkman-Cronin PLC";"Female";"Earrings";3;"Anniversary";"White Gold";2;"No";"Handmade";"Yes";13832
60;"Textured Tapered Circlet";9;"Volkman-Cronin PLC";"Male";"Circlet";608;"Birthday";"Platinum";9;"No";"Handmade";"No";21028
61;"Stylish Hand-Carved Bracelet";9;"Volkman-Cronin PLC";"Female";"Bracelet";202;"Surgery";"Aquamarines";12;"Yes";"Handmade";"No";7445
62;"Casual Contemporary Gold-Plated Locket";9;"Volkman-Cronin PLC";"Male";"Locket";40;"Anniversary";"Diamonds";18;"No";"Handmade";"Yes";24225
63;"Cute Encased Brooch";10;"Boyer-Yost and Co";"Male";"Brooch";42;"Thank You";"Sapphires";17;"No";"Machine";"No";8080
64;"Studded Beaded Necklace";10;"Boyer-Yost and Co";"Female";"Necklace";369;"Thank You";"Aquamarines";11;"Yes";"Handmade";"Yes";17645
65;"Precious Rust-Resistant Wardrobe-Friendly Brooch";10;"Boyer-Yost and Co";"Female";"Brooch";18;"Holiday";"Sapphires";2;"Yes";"Machine";"No";8507
66;"Bangle-Style Marquise-Cut Designer Charm";11;"Haley-Bruen";"Female";"Charm";24;"Thank You";"Silk";14;"No";"Machine";"No";24948
67;"Marbled Keepsake Costume Ring";11;"Haley-Bruen";"Male";"Ring";10;"Promotion";"Aquamarines";16;"No";"Handmade";"No";8460
68;"Sexy Top-Of-The-Line Hand-Carved Circlet";11;"Haley-Bruen";"Male";"Circlet";536;"Thank You";"Colored Diamonds";20;"Yes";"Machine";"No";1839
69;"Radiant Cute Brilliant Belly chain";11;"Haley-Bruen";"Male";"Belly chain";579;"Engagement";"Onyx";6;"Yes";"Machine";"Yes";188
70;"Tribal Cute Brooch";11;"Haley-Bruen";"Male";"Brooch";48;"Surgery";"Rose Gold";11;"Yes";"Machine";"Yes";3380
71;"Adjustable Graceful Earrings";11;"Haley-Bruen";"Male";"Earrings";8;"Baby Shower";"Ruthenium";10;"Yes";"Handmade";"No";4012
72;"Clustered Funky Engineered Brooch";11;"Haley-Bruen";"Female";"Brooch";23;"Holiday";"Pearls";12;"No";"Handmade";"Yes";14264
73;"Reliable Reflective Dangly Necklace";11;"Haley-Bruen";"Male";"Necklace";412;"Wedding";"Onyx";16;"No";"Handmade";"No";5540
74;"Fancy Unique Cute Belly chain";12;"Jakubowski-Rutherford PLC";"Male";"Belly chain";526;"Just Because";"Rose Gold";5;"No";"Machine";"No";14471
75;"Opaque Etched Pin";12;"Jakubowski-Rutherford PLC";"Male";"Pin";34;"Anniversary";"Titanium";6;"No";"Machine";"No";10890
76;"Multi-Faceted Reflective Armlet";12;"Jakubowski-Rutherford PLC";"Female";"Armlet";163;"Baby Shower";"Silk";15;"Yes";"Handmade";"Yes";19646
77;"Contemporary Keepsake Sassy Amulet";13;"Green Zieme and Sauer";"Female";"Amulet";43;"Anniversary";"Onyx";18;"No";"Machine";"Yes";18212
78;"Prismatic Solid Armlet";13;"Green Zieme and Sauer";"Male";"Armlet";225;"Thank You";"Onyx";13;"Yes";"Machine";"Yes";3912
79;"Brilliant Comfortable Delicate Locket";13;"Green Zieme and Sauer";"Female";"Locket";42;"Baby Shower";"Crystal";19;"Yes";"Machine";"Yes";8708
80;"Slender Comfortable Marbled Locket";13;"Green Zieme and Sauer";"Male";"Locket";47;"Baby Shower";"Colored Gemstones";5;"No";"Machine";"Yes";8918
81;"Whimsical Teardrop Clustered Charm";13;"Green Zieme and Sauer";"Female";"Charm";37;"Just Because";"Silk";2;"No";"Machine";"No";22773
82;"Cut-Out Charming Antique Pendant";13;"Green Zieme and Sauer";"Male";"Pendant";16;"Promotion";"Diamonds";9;"No";"Machine";"No";7540
83;"Semi-Translucent Crackled Rocker-Style Pin";13;"Green Zieme and Sauer";"Male";"Pin";23;"Engagement";"Stainless Steel";7;"Yes";"Handmade";"Yes";7576
84;"Whimsical Cool Anklet";13;"Green Zieme and Sauer";"Female";"Anklet";217;"Birthday";"Sterling Silver";12;"No";"Machine";"Yes";16481
85;"Antique Artisan Marquise-Cut Ring";13;"Green Zieme and Sauer";"Female";"Ring";4;"Wedding";"Aquamarines";8;"Yes";"Machine";"No";6776
86;"Bangle-Style Encased Brooch";13;"Green Zieme and Sauer";"Male";"Brooch";38;"Baby Shower";"Tanzanites";3;"Yes";"Machine";"Yes";504
87;"Flattering Scratch-Resistant Circlet";14;"Dooley Ferry and Fritsch Ltd";"Female";"Circlet";600;"Just Because";"Ruthenium";19;"Yes";"Handmade";"No";14723
88;"Delicate Scratch-Resistant Watch";14;"Dooley Ferry and Fritsch Ltd";"Male";"Watch";37;"Anniversary";"Titanium";2;"Yes";"Machine";"No";6164
89;"Sexy Prismatic Burnished Watch";14;"Dooley Ferry and Fritsch Ltd";"Male";"Watch";36;"Apology";"Tanzanites";6;"Yes";"Handmade";"No";19808
90;"Colorful Minimalist Earrings";14;"Dooley Ferry and Fritsch Ltd";"Female";"Earrings";5;"Thank You";"Aquamarines";11;"Yes";"Handmade";"No";17984
91;"Marbled Gorgeous Locket";14;"Dooley Ferry and Fritsch Ltd";"Male";"Locket";28;"Thank You";"Tanzanites";5;"Yes";"Handmade";"Yes";13185
92;"Flexible Mosaic Costume Pendant";14;"Dooley Ferry and Fritsch Ltd";"Female";"Pendant";26;"Holiday";"Lacquer";19;"Yes";"Machine";"No";10810
93;"One-Of-A-Kind Charming Necklace";14;"Dooley Ferry and Fritsch Ltd";"Female";"Necklace";532;"Just Because";"Titanium";14;"No";"Machine";"Yes";14552
94;"Shimmering Chic Charm";14;"Dooley Ferry and Fritsch Ltd";"Male";"Charm";21;"Just Because";"Stainless Steel";3;"No";"Machine";"No";8090
95;"Dramatic Unique Circlet";14;"Dooley Ferry and Fritsch Ltd";"Female";"Circlet";543;"Graduation";"Silk";4;"Yes";"Machine";"No";17863
96;"Multistrand Unique Gorgeous Pendant";15;"Wyman Osinski and Kovacek";"Male";"Pendant";43;"Promotion";"Sapphires";4;"Yes";"Machine";"No";3645
97;"Dainty Cool Professional Locket";15;"Wyman Osinski and Kovacek";"Male";"Locket";30;"Thank You";"Lacquer";8;"Yes";"Handmade";"Yes";2843
98;"Mosaic Savvy Silver Anklet";15;"Wyman Osinski and Kovacek";"Male";"Anklet";208;"Wedding";"Gold";14;"No";"Handmade";"Yes";10958
99;"Graceful Tapered Circlet";15;"Wyman Osinski and Kovacek";"Female";"Circlet";577;"Just Because";"Silk";7;"Yes";"Machine";"Yes";14970
100;"Waterproof Top-Of-The-Line Unique Watch";15;"Wyman Osinski and Kovacek";"Male";"Watch";48;"Baby Shower";"Stainless Steel";11;"No";"Handmade";"Yes";16652
101;"Waterproof Faceted Watch";15;"Wyman Osinski and Kovacek";"Male";"Watch";46;"Promotion";"Aquamarines";12;"No";"Machine";"Yes";6632
102;"Burnished Set Anklet";15;"Wyman Osinski and Kovacek";"Male";"Anklet";189;"Baby Shower";"Ruthenium";17;"No";"Handmade";"Yes";12300
103;"Shimmering Costume Ring";15;"Wyman Osinski and Kovacek";"Female";"Ring";3;"Thank You";"Sapphires";5;"No";"Machine";"No";16451
104;"Faceted Flexible Hairpin";15;"Wyman Osinski and Kovacek";"Female";"Hairpin";19;"Promotion";"Tanzanites";6;"No";"Machine";"Yes";10638
105;"Lightweight Water-Resistant Decorative Cuff links";16;"Bode-Gottlieb Inc";"Male";"Cuff links";18;"Surgery";"Silk";14;"No";"Machine";"No";12179
106;"Rust-Resistant Innovative Earrings";16;"Bode-Gottlieb Inc";"Female";"Earrings";7;"Apology";"Rose Gold";12;"No";"Handmade";"Yes";25209
107;"Flawless Supportive Earrings";16;"Bode-Gottlieb Inc";"Female";"Earrings";5;"Promotion";"Gold";11;"No";"Handmade";"Yes";7229
108;"Hot Costume Belly chain";16;"Bode-Gottlieb Inc";"Female";"Belly chain";582;"Apology";"Lacquer";3;"No";"Machine";"No";10184
109;"Delicate Tiny Two-Tone Pin";16;"Bode-Gottlieb Inc";"Male";"Pin";20;"Graduation";"Lacquer";19;"Yes";"Handmade";"Yes";1090
110;"Ornate Structural Necklace";16;"Bode-Gottlieb Inc";"Female";"Necklace";509;"Baby Shower";"White Gold";15;"No";"Machine";"Yes";6615
111;"Round-Cut Radiant Original Belly chain";16;"Bode-Gottlieb Inc";"Female";"Belly chain";619;"Just Because";"Silk";2;"Yes";"Handmade";"Yes";13922
112;"Mosaic Carved Pendant";17;"Blick-Bosco";"Female";"Pendant";13;"Surgery";"Ruthenium";18;"Yes";"Handmade";"No";6893
113;"Elegant Precise Armlet";17;"Blick-Bosco";"Female";"Armlet";174;"Anniversary";"Gold";9;"Yes";"Handmade";"Yes";5950
114;"Subtle Tribal Wear-Anywhere Ring";17;"Blick-Bosco";"Male";"Ring";13;"Graduation";"Crystal";9;"Yes";"Handmade";"No";3846
115;"Studded Designer Radiant Pendant";17;"Blick-Bosco";"Male";"Pendant";38;"Wedding";"Turquoise";13;"Yes";"Handmade";"Yes";1981
116;"Corrosion-Resistant Crackled Cute Belly chain";17;"Blick-Bosco";"Male";"Belly chain";566;"Thank You";"Turquoise";10;"Yes";"Handmade";"No";3214
117;"Multi-Faceted Flattering Necklace";17;"Blick-Bosco";"Male";"Necklace";812;"Apology";"Sapphires";1;"No";"Machine";"Yes";6989
118;"Corrosion-Resistant Carved Antique Pendant";17;"Blick-Bosco";"Female";"Pendant";37;"Baby Shower";"Ruthenium";10;"Yes";"Handmade";"No";3780
119;"Encased Fancy Circlet";17;"Blick-Bosco";"Male";"Circlet";550;"Holiday";"Silk";16;"Yes";"Machine";"Yes";14444
120;"Cute Wear-Anywhere Radiant Brooch";17;"Blick-Bosco";"Female";"Brooch";27;"Wedding";"Silk";2;"Yes";"Handmade";"No";14678
121;"Cutting-Edge Reliable Dangly Belly chain";18;"Vandervort Ltd";"Male";"Belly chain";561;"Wedding";"Lacquer";18;"No";"Machine";"No";3768
122;"Burnished Mosaic Semi-Translucent Anklet";18;"Vandervort Ltd";"Male";"Anklet";203;"Engagement";"Colored Diamonds";20;"Yes";"Handmade";"No";3104
123;"Mosaic Distinctive Ring";18;"Vandervort Ltd";"Male";"Ring";13;"Holiday";"Crystal";5;"Yes";"Machine";"No";1525
124;"Stylish Funky Belly chain";18;"Vandervort Ltd";"Female";"Belly chain";579;"Thank You";"Ruthenium";10;"No";"Machine";"No";7568
125;"Flirty Premium-Grade Earrings";18;"Vandervort Ltd";"Male";"Earrings";8;"Thank You";"Crystal";6;"Yes";"Machine";"Yes";3579
126;"Streamlined Artisan Intricate Necklace";18;"Vandervort Ltd";"Male";"Necklace";753;"Wedding";"Colored Gemstones";7;"Yes";"Handmade";"Yes";2712
127;"Prismatic Sparkling Whimsical Circlet";18;"Vandervort Ltd";"Female";"Circlet";630;"Surgery";"Tanzanites";15;"No";"Handmade";"No";6621
128;"Embellished Prismatic Necklace";18;"Vandervort Ltd";"Male";"Necklace";825;"Engagement";"Titanium";20;"No";"Machine";"Yes";5765
129;"Silver-Tone Dangling Innovative Earrings";18;"Vandervort Ltd";"Female";"Earrings";2;"Engagement";"Gold";18;"No";"Handmade";"Yes";3938
130;"Wear-Anywhere Top-Of-The-Line Innovative Circlet";18;"Vandervort Ltd";"Female";"Circlet";562;"Just Because";"Ruthenium";8;"No";"Handmade";"Yes";6062
131;"Stunning Opaque Gold-Filled Amulet";19;"Gleason Herzog and Dietrich and Co";"Male";"Amulet";46;"Thank You";"Sapphires";18;"Yes";"Machine";"Yes";2248
132;"Cut-Out Savvy Brooch";19;"Gleason Herzog and Dietrich and Co";"Female";"Brooch";18;"Just Because";"Sapphires";15;"No";"Handmade";"No";11458
133;"Lovely Laser-Cut Radiant Circlet";19;"Gleason Herzog and Dietrich and Co";"Female";"Circlet";601;"Holiday";"Diamonds";7;"No";"Machine";"Yes";4780
134;"Original Top-Of-The-Line Earrings";19;"Gleason Herzog and Dietrich and Co";"Female";"Earrings";4;"Baby Shower";"Stainless Steel";10;"Yes";"Machine";"No";4523
135;"Crackled Chunky Hammered Anklet";19;"Gleason Herzog and Dietrich and Co";"Female";"Anklet";127;"Apology";"Silk";13;"Yes";"Handmade";"No";20786
136;"Cutting-Edge Designer Cuff links";19;"Gleason Herzog and Dietrich and Co";"Male";"Cuff links";28;"Promotion";"Titanium";14;"No";"Machine";"No";2699
137;"Hand-Hammered Slender Artisan Amulet";19;"Gleason Herzog and Dietrich and Co";"Male";"Amulet";35;"Promotion";"White Gold";9;"No";"Machine";"Yes";6340
138;"Suspended Edgy Watch";19;"Gleason Herzog and Dietrich and Co";"Female";"Watch";45;"Engagement";"Crystal";6;"Yes";"Handmade";"No";7316
139;"Graceful Subtle Ring";19;"Gleason Herzog and Dietrich and Co";"Male";"Ring";3;"Promotion";"Pearls";11;"No";"Handmade";"Yes";7068
140;"Graceful Waterproof Attention-Getting Amulet";20;"McDermott-Hackett and Co";"Female";"Amulet";31;"Baby Shower";"Lacquer";1;"Yes";"Handmade";"No";19675
141;"Fancy Flattering Anklet";21;"Hoeger Inc and Co";"Female";"Anklet";216;"Birthday";"Stainless Steel";13;"No";"Handmade";"No";13923
142;"Mosaic Multi-Faceted Hairpin";21;"Hoeger Inc and Co";"Female";"Hairpin";33;"Engagement";"Silk";14;"No";"Handmade";"Yes";26791
143;"Elegant Adjustable Sleek Brooch";21;"Hoeger Inc and Co";"Male";"Brooch";29;"Thank You";"Pearls";18;"No";"Machine";"No";7839
144;"Prismatic Gunmetal Brooch";21;"Hoeger Inc and Co";"Female";"Brooch";35;"Graduation";"Stainless Steel";14;"No";"Handmade";"No";16987
145;"Tapered Fancy Brooch";21;"Hoeger Inc and Co";"Male";"Brooch";13;"Thank You";"Ruthenium";7;"No";"Handmade";"Yes";14165
146;"Gunmetal Pierced Plated Hairpin";22;"Morar-Strosin";"Male";"Hairpin";50;"Surgery";"White Gold";12;"No";"Machine";"Yes";7574
147;"Premium-Grade Cool Original Ring";22;"Morar-Strosin";"Male";"Ring";7;"Engagement";"Colored Gemstones";10;"Yes";"Handmade";"Yes";6188
148;"Savvy Waterproof Necklace";22;"Morar-Strosin";"Male";"Necklace";561;"Anniversary";"Gold";12;"No";"Machine";"Yes";4511
149;"Slender Gorgeous Earrings";22;"Morar-Strosin";"Male";"Earrings";9;"Baby Shower";"Gold";6;"Yes";"Handmade";"Yes";2998
150;"Silver-Tone Burnished Earrings";22;"Morar-Strosin";"Male";"Earrings";4;"Graduation";"Platinum";19;"Yes";"Handmade";"No";3854
151;"Princess-Cut Rugged Earrings";22;"Morar-Strosin";"Male";"Earrings";4;"Engagement";"Tanzanites";9;"No";"Handmade";"No";11936
152;"Floral Dramatic Pendant";22;"Morar-Strosin";"Male";"Pendant";35;"Holiday";"Pearls";12;"Yes";"Handmade";"Yes";2856
153;"Subtle Complex Fancy Charm";22;"Morar-Strosin";"Male";"Charm";22;"Birthday";"Platinum";14;"No";"Machine";"No";4940
154;"Flirty Gorgeous Pin";22;"Morar-Strosin";"Female";"Pin";38;"Baby Shower";"Silk";11;"No";"Machine";"Yes";17725
155;"Wooden Savvy Belly chain";22;"Morar-Strosin";"Female";"Belly chain";510;"Thank You";"Titanium";12;"Yes";"Handmade";"Yes";11001
156;"Savvy Charming Necklace";23;"Heidenreich Inc";"Female";"Necklace";450;"Wedding";"Sapphires";6;"No";"Handmade";"Yes";13955
157;"Laser-Cut Encased Watch";23;"Heidenreich Inc";"Male";"Watch";44;"Just Because";"Tanzanites";15;"No";"Machine";"Yes";12907
158;"Sparkling Faceted Necklace";23;"Heidenreich Inc";"Female";"Necklace";459;"Apology";"Sapphires";20;"Yes";"Handmade";"Yes";21382
159;"Laser-Cut Gold-Plated Charm";24;"Cummerata-Koch";"Female";"Charm";40;"Wedding";"Aquamarines";9;"No";"Machine";"No";10473
160;"Wardrobe-Friendly Marbled Cool Necklace";24;"Cummerata-Koch";"Male";"Necklace";503;"Wedding";"Tanzanites";5;"Yes";"Handmade";"Yes";2161
161;"Brilliant Slip-On Ring";24;"Cummerata-Koch";"Female";"Ring";8;"Surgery";"Silk";1;"No";"Handmade";"No";16548
162;"Reliable Studded Marquise-Cut Cuff links";24;"Cummerata-Koch";"Male";"Cuff links";25;"Baby Shower";"Aquamarines";4;"No";"Handmade";"No";4998
163;"Elegant Snag-Free Marbled Amulet";24;"Cummerata-Koch";"Female";"Amulet";18;"Birthday";"Crystal";19;"Yes";"Machine";"Yes";4315
164;"Mosaic Cutting-Edge Watch";25;"Stark-Fahey PLC";"Female";"Watch";36;"Just Because";"Turquoise";11;"No";"Handmade";"Yes";13308
165;"Cute Comfortable Small Amulet";25;"Stark-Fahey PLC";"Female";"Amulet";20;"Graduation";"Crystal";3;"No";"Machine";"No";9656
166;"Adorable Stunning Inlaid Pin";25;"Stark-Fahey PLC";"Male";"Pin";30;"Engagement";"White Gold";2;"No";"Handmade";"No";7081
167;"Artisan Chunky Locket";25;"Stark-Fahey PLC";"Male";"Locket";38;"Anniversary";"Onyx";12;"No";"Handmade";"No";10795
168;"Water-Resistant Nickel-Free Pin";25;"Stark-Fahey PLC";"Male";"Pin";13;"Holiday";"Platinum";13;"No";"Machine";"Yes";5989
169;"Polished Adjustable Pendant";25;"Stark-Fahey PLC";"Female";"Pendant";19;"Graduation";"Sterling Silver";1;"No";"Handmade";"Yes";12319
170;"Dramatic Detailed Streamlined Pin";25;"Stark-Fahey PLC";"Male";"Pin";44;"Surgery";"Titanium";8;"No";"Machine";"Yes";6881
171;"Flexible Innovative Pendant";25;"Stark-Fahey PLC";"Female";"Pendant";50;"Just Because";"Turquoise";14;"Yes";"Machine";"No";4928
172;"Platinum Striking Kiln-Fired Ring";25;"Stark-Fahey PLC";"Female";"Ring";3;"Surgery";"Sapphires";7;"Yes";"Machine";"Yes";5997
173;"Simple Reflective Textured Cuff links";25;"Stark-Fahey PLC";"Male";"Cuff links";22;"Just Because";"Platinum";9;"No";"Handmade";"No";6244
174;"Sexy Sophisticated Princess-Cut Ring";26;"Reinger and Sons";"Male";"Ring";10;"Baby Shower";"Onyx";12;"No";"Machine";"Yes";5769
