"prodID";"prodName";"compID";"compName";"price"
116;"Corrosion-Resistant Crackled Cute Belly chain";17;"Blick-Bosco";3214
117;"Multi-Faceted Flattering Necklace";17;"Blick-Bosco";6989
118;"Corrosion-Resistant Carved Antique Pendant";17;"Blick-Bosco";3780
119;"Encased Fancy Circlet";17;"Blick-Bosco";14444
120;"Cute Wear-Anywhere Radiant Brooch";17;"Blick-Bosco";14678
121;"Cutting-Edge Reliable Dangly Belly chain";18;"Vandervort Ltd";3768
122;"Burnished Mosaic Semi-Translucent Anklet";18;"Vandervort Ltd";3104
123;"Mosaic Distinctive Ring";18;"Vandervort Ltd";1525
124;"Stylish Funky Belly chain";18;"Vandervort Ltd";7568
125;"Flirty Premium-Grade Earrings";18;"Vandervort Ltd";3579
126;"Streamlined Artisan Intricate Necklace";18;"Vandervort Ltd";2712
127;"Prismatic Sparkling Whimsical Circlet";18;"Vandervort Ltd";6621
128;"Embellished Prismatic Necklace";18;"Vandervort Ltd";5765
129;"Silver-Tone Dangling Innovative Earrings";18;"Vandervort Ltd";3938
130;"Wear-Anywhere Top-Of-The-Line Innovative Circlet";18;"Vandervort Ltd";6062
131;"Stunning Opaque Gold-Filled Amulet";19;"Gleason Herzog and Dietrich and Co";2248
132;"Cut-Out Savvy Brooch";19;"Gleason Herzog and Dietrich and Co";11458
133;"Lovely Laser-Cut Radiant Circlet";19;"Gleason Herzog and Dietrich and Co";4780
134;"Original Top-Of-The-Line Earrings";19;"Gleason Herzog and Dietrich and Co";4523
135;"Crackled Chunky Hammered Anklet";19;"Gleason Herzog and Dietrich and Co";20786
136;"Cutting-Edge Designer Cuff links";19;"Gleason Herzog and Dietrich and Co";2699
137;"Hand-Hammered Slender Artisan Amulet";19;"Gleason Herzog and Dietrich and Co";6340
138;"Suspended Edgy Watch";19;"Gleason Herzog and Dietrich and Co";7316
139;"Graceful Subtle Ring";19;"Gleason Herzog and Dietrich and Co";7068
140;"Graceful Waterproof Attention-Getting Amulet";20;"McDermott-Hackett and Co";19675
141;"Fancy Flattering Anklet";21;"Hoeger Inc and Co";13923
142;"Mosaic Multi-Faceted Hairpin";21;"Hoeger Inc and Co";26791
143;"Elegant Adjustable Sleek Brooch";21;"Hoeger Inc and Co";7839
144;"Prismatic Gunmetal Brooch";21;"Hoeger Inc and Co";16987
145;"Tapered Fancy Brooch";21;"Hoeger Inc and Co";14165
146;"Gunmetal Pierced Plated Hairpin";22;"Morar-Strosin";7574
147;"Premium-Grade Cool Original Ring";22;"Morar-Strosin";6188
148;"Savvy Waterproof Necklace";22;"Morar-Strosin";4511
149;"Slender Gorgeous Earrings";22;"Morar-Strosin";2998
150;"Silver-Tone Burnished Earrings";22;"Morar-Strosin";3854
151;"Princess-Cut Rugged Earrings";22;"Morar-Strosin";11936
152;"Floral Dramatic Pendant";22;"Morar-Strosin";2856
153;"Subtle Complex Fancy Charm";22;"Morar-Strosin";4940
154;"Flirty Gorgeous Pin";22;"Morar-Strosin";17725
155;"Wooden Savvy Belly chain";22;"Morar-Strosin";11001
156;"Savvy Charming Necklace";23;"Heidenreich Inc";13955
157;"Laser-Cut Encased Watch";23;"Heidenreich Inc";12907
158;"Sparkling Faceted Necklace";23;"Heidenreich Inc";21382
159;"Laser-Cut Gold-Plated Charm";24;"Cummerata-Koch";10473
160;"Wardrobe-Friendly Marbled Cool Necklace";24;"Cummerata-Koch";2161
161;"Brilliant Slip-On Ring";24;"Cummerata-Koch";16548
162;"Reliable Studded Marquise-Cut Cuff links";24;"Cummerata-Koch";4998
163;"Elegant Snag-Free Marbled Amulet";24;"Cummerata-Koch";4315
164;"Mosaic Cutting-Edge Watch";25;"Stark-Fahey PLC";13308
165;"Cute Comfortable Small Amulet";25;"Stark-Fahey PLC";9656
166;"Adorable Stunning Inlaid Pin";25;"Stark-Fahey PLC";7081
167;"Artisan Chunky Locket";25;"Stark-Fahey PLC";10795
168;"Water-Resistant Nickel-Free Pin";25;"Stark-Fahey PLC";5989
169;"Polished Adjustable Pendant";25;"Stark-Fahey PLC";12319
170;"Dramatic Detailed Streamlined Pin";25;"Stark-Fahey PLC";6881
171;"Flexible Innovative Pendant";25;"Stark-Fahey PLC";4928
172;"Platinum Striking Kiln-Fired Ring";25;"Stark-Fahey PLC";5997
173;"Simple Reflective Textured Cuff links";25;"Stark-Fahey PLC";6244
174;"Sexy Sophisticated Princess-Cut Ring";26;"Reinger and Sons";5769
175;"Coordinating Versatile Belly chain";26;"Reinger and Sons";12855
176;"Sparkly Reflective Anklet";26;"Reinger and Sons";4069
177;"Flexible Adorable Armlet";26;"Reinger and Sons";2009
178;"Clustered Prismatic Circlet";26;"Reinger and Sons";671
179;"Teardrop Simple Preppy Anklet";27;"Quitzon-Rempel and Co";18255
180;"Precious Top-Of-The-Line Set Necklace";27;"Quitzon-Rempel and Co";23187
181;"Edgy Large Genuine Charm";27;"Quitzon-Rempel and Co";7768
182;"Waterproof Slender Armlet";27;"Quitzon-Rempel and Co";18729
183;"Radiant Silver Charming Cuff links";27;"Quitzon-Rempel and Co";23718
184;"Gold-Filled Dependable Dramatic Charm";27;"Quitzon-Rempel and Co";8799
185;"Precious Sassy Adjustable Pin";27;"Quitzon-Rempel and Co";19816
186;"Attention-Getting Sporty Lightweight Amulet";28;"Waelchi-Streich";2895
187;"Reliable Striking Cuff links";28;"Waelchi-Streich";5495
188;"Classic Edgy Dangling Amulet";28;"Waelchi-Streich";3202
189;"Distinctive Timeless Tapered Ring";28;"Waelchi-Streich";4578
190;"Funky Studded Antique Belly chain";29;"Russel-Johnson";6220
191;"Comfortable Multistrand Bracelet";29;"Russel-Johnson";6153
192;"Inlaid Minimalist Ring";29;"Russel-Johnson";17008
193;"Bejeweled Trendsetting Flawless Circlet";29;"Russel-Johnson";7222
194;"Exceptional Carved Teardrop Brooch";29;"Russel-Johnson";5624
195;"Hand-Finished Stunning Charm";29;"Russel-Johnson";17400
196;"Beaded Gold Cutting-Edge Armlet";29;"Russel-Johnson";11898
197;"Smooth Two-Tone Necklace";29;"Russel-Johnson";5005
198;"Cutting-Edge Smoky Pendant";29;"Russel-Johnson";3453
199;"Rocker-Style Sassy Sale-Priced Pin";29;"Russel-Johnson";4450
200;"Original Rust-Resistant Pierced Earrings";30;"Jacobs Okuneva and Monahan";4809
201;"Exotic Gold-Filled Earrings";31;"Prohaska-Price PLC";29562
202;"Hand-Crafted Beaded Watch";31;"Prohaska-Price PLC";7679
203;"Hand-Carved Mosaic Smooth Circlet";31;"Prohaska-Price PLC";8342
204;"Solid Multi-Faceted Teardrop Watch";31;"Prohaska-Price PLC";2193
205;"Dainty Edgy Bracelet";31;"Prohaska-Price PLC";19860
206;"Smoky Artisanal Hairpin";31;"Prohaska-Price PLC";17633
207;"Structural Dapper Kiln-Fired Amulet";31;"Prohaska-Price PLC";13385
208;"Inlaid Designer Charm";31;"Prohaska-Price PLC";11131
209;"Unique Marquise-Cut Pin";32;"Gottlieb Beier and Keeling";9586
210;"Metallic Bold Wardrobe-Friendly Bracelet";32;"Gottlieb Beier and Keeling";925
211;"Timeless Preppy Necklace";32;"Gottlieb Beier and Keeling";7410
212;"Round-Cut Two-Tone Hairpin";32;"Gottlieb Beier and Keeling";21227
213;"Classic Polished Engraved Necklace";32;"Gottlieb Beier and Keeling";10505
214;"Nickel-Free Artisanal Hairpin";32;"Gottlieb Beier and Keeling";11990
215;"Textured Striking Circlet";32;"Gottlieb Beier and Keeling";10228
216;"Dapper Finely Detailed Suspended Locket";32;"Gottlieb Beier and Keeling";12223
217;"Funky Beaded Earrings";32;"Gottlieb Beier and Keeling";18285
218;"Comfy Gold Cool Hairpin";33;"Kilback-Smitham";6096
219;"Hinged Plated Earrings";33;"Kilback-Smitham";3536
220;"Cut-Out Smoky Amulet";33;"Kilback-Smitham";7399
221;"Chic Hand-Hammered Charm";34;"Lind-Sanford and Co";11624
222;"Encased Dependable Polished Bracelet";34;"Lind-Sanford and Co";4143
223;"Simple Genuine Scratch-Resistant Anklet";35;"Kemmer Ltd";19795
224;"Hand-Finished Scratch-Resistant Brooch";35;"Kemmer Ltd";31670
225;"Ornate Stunning Hairpin";35;"Kemmer Ltd";14188
226;"Snag-Free Elegant Pendant";35;"Kemmer Ltd";10368
227;"Wooden Round-Cut Bangle-Style Belly chain";35;"Kemmer Ltd";9024
228;"Flawless Wrapped Bracelet";35;"Kemmer Ltd";14235
229;"Gorgeous Preppy Engineered Hairpin";35;"Kemmer Ltd";9363
230;"Innovative Brilliant Princess-Cut Pin";35;"Kemmer Ltd";10264
231;"Silver-Tone Burnished Rough-Cut Earrings";35;"Kemmer Ltd";12951
232;"Glitzy Artisanal Bracelet";36;"Nienow Wehner and Sanford";3450
233;"Exotic Precious Ring";36;"Nienow Wehner and Sanford";5122
234;"Structural Graceful Charm";36;"Nienow Wehner and Sanford";3395
235;"Innovative Princess-Cut Amulet";37;"Stracke LLC";21916
236;"Timeless Subtle Amulet";37;"Stracke LLC";17271
237;"Reflective Multi-Faceted Amulet";38;"Goyette and Sons and Co";18997
238;"Elegant Glittering Fancy Ring";38;"Goyette and Sons and Co";3498
239;"Sale-Priced Everyday Round-Cut Cuff links";38;"Goyette and Sons and Co";2917
240;"Scratch-Resistant Elegant Necklace";38;"Goyette and Sons and Co";3269
241;"Faceted Comfortable Cuff links";39;"Hintz-Blanda and Sons";1182
242;"Crackled Ornate Cuff links";39;"Hintz-Blanda and Sons";6541
243;"Hand-Hammered Silver Watch";39;"Hintz-Blanda and Sons";5498
244;"Simple Minimalist Dainty Armlet";39;"Hintz-Blanda and Sons";2980
245;"Versatile Exceptional Slip-On Pin";39;"Hintz-Blanda and Sons";7131
246;"Wooden Wrapped Keepsake Circlet";39;"Hintz-Blanda and Sons";8648
247;"Corrosion-Resistant Hinged Fancy Amulet";39;"Hintz-Blanda and Sons";5026
248;"Smoky Genuine Brooch";40;"Mosciski Krajcik and Crist Group";10444
249;"Flexible Carved Hairpin";40;"Mosciski Krajcik and Crist Group";25772
250;"Timeless Iridescent Tiny Circlet";40;"Mosciski Krajcik and Crist Group";11364
251;"Gunmetal Hand-Crafted Watch";41;"Hamill Inc and Co";12180
252;"Subtle Snag-Free Charm";41;"Hamill Inc and Co";22344
253;"Two-Tone Chunky Bracelet";41;"Hamill Inc and Co";27560
254;"Artisanal Beaded Tribal Hairpin";41;"Hamill Inc and Co";6657
255;"Minimalist Plated Circlet";41;"Hamill Inc and Co";15847
256;"Striking Kiln-Fired Simple Amulet";41;"Hamill Inc and Co";9492
257;"Smoky Hand-Crafted Circlet";42;"Dicki Kuvalis and Pollich Inc";3877
258;"Fancy Marbled Exceptional Bracelet";42;"Dicki Kuvalis and Pollich Inc";7878
259;"Coordinating Multistrand Innovative Watch";42;"Dicki Kuvalis and Pollich Inc";6884
260;"Trendsetting Teardrop Cut-Out Charm";42;"Dicki Kuvalis and Pollich Inc";4391
261;"Large Finely Detailed Locket";42;"Dicki Kuvalis and Pollich Inc";6175
262;"Fancy Pierced Amulet";42;"Dicki Kuvalis and Pollich Inc";9642
263;"Wear-Anywhere Faceted Cuff links";42;"Dicki Kuvalis and Pollich Inc";6234
264;"Hot Bejeweled Brooch";42;"Dicki Kuvalis and Pollich Inc";3433
265;"Embellished Cutting-Edge Smooth Circlet";43;"Corkery PLC";24615
266;"Hand-Carved Wear-Anywhere Pendant";43;"Corkery PLC";13000
267;"Superior Artisan Armlet";43;"Corkery PLC";6748
268;"Hand-Crafted Delicate Bracelet";43;"Corkery PLC";12566
269;"Decorative Funky Necklace";43;"Corkery PLC";9701
270;"Flawless Floral Innovative Pendant";43;"Corkery PLC";1032
271;"Chunky Laser-Cut Charm";43;"Corkery PLC";21286
272;"Hammered Carved Flexible Earrings";44;"Toy-Parker";4750
273;"Gold Fine Savvy Circlet";44;"Toy-Parker";10772
274;"Floral Beautiful Two-Tone Necklace";44;"Toy-Parker";9945
275;"Exotic Finely Detailed Belly chain";44;"Toy-Parker";7489
276;"Dependable Engraved Encased Earrings";44;"Toy-Parker";21040
277;"Faceted Sporty Amulet";44;"Toy-Parker";17106
278;"Round-Cut Wardrobe-Friendly Wrapped Watch";44;"Toy-Parker";7037
279;"Princess-Cut Tribal Small Charm";45;"Dickens Brown and Parker and Co";9440
280;"Inlaid Innovative Pendant";45;"Dickens Brown and Parker and Co";16125
281;"Vintage Teardrop Bracelet";45;"Dickens Brown and Parker and Co";15947
282;"Reliable Glitzy Pendant";46;"Muller-Hane and Co";8687
283;"Coordinating Bangle-Style Pendant";47;"Shanahan Ltd";9560
284;"Clustered Beautiful Flawless Hairpin";47;"Shanahan Ltd";10512
285;"Small Premium-Grade Pin";47;"Shanahan Ltd";22146
286;"Chic Silver Minimalist Pin";47;"Shanahan Ltd";15276
287;"Faceted Sleek Etched Brooch";47;"Shanahan Ltd";20108
288;"Mosaic Gold-Plated Locket";47;"Shanahan Ltd";15190
289;"Detailed Genuine Crackled Pin";47;"Shanahan Ltd";20990
290;"Exceptional Wrapped Belly chain";47;"Shanahan Ltd";18445
291;"Exotic Lightweight Ring";47;"Shanahan Ltd";28097
292;"Nickel-Free Tiny Striking Hairpin";48;"Wintheiser Ltd and Sons";19934
293;"Round-Cut Silver-Tone Delicate Charm";48;"Wintheiser Ltd and Sons";21953
294;"Brilliant Gorgeous Hairpin";48;"Wintheiser Ltd and Sons";998
295;"Iridescent Sassy Innovative Earrings";49;"Nader Inc";13461
296;"Clustered Textured Bracelet";49;"Nader Inc";15398
297;"Slender Superior Hairpin";49;"Nader Inc";11119
298;"Reflective Chunky Anklet";49;"Nader Inc";12925
299;"Brilliant Exciting Encased Bracelet";49;"Nader Inc";16418
300;"Savvy Engraved Amulet";49;"Nader Inc";16932
301;"Timeless Simple Belly chain";49;"Nader Inc";3688
302;"Faceted Sassy Hammered Circlet";49;"Nader Inc";4676
303;"Hand-Carved Smooth Gold Hairpin";49;"Nader Inc";8265
304;"Small Stylish Top-Of-The-Line Pin";49;"Nader Inc";5848
305;"Reflective Opaque Cutting-Edge Earrings";50;"Leffler Schuppe and Christiansen";31268
306;"Graceful Sparkling Studded Pendant";50;"Leffler Schuppe and Christiansen";3972
307;"Hinged Wooden Corrosion-Resistant Amulet";50;"Leffler Schuppe and Christiansen";8864
308;"Rocker-Style Faceted Delicate Charm";50;"Leffler Schuppe and Christiansen";15061
309;"Supportive Brilliant Brooch";50;"Leffler Schuppe and Christiansen";6024
310;"Sleek Suspended Charm";50;"Leffler Schuppe and Christiansen";30820
311;"Exotic Teardrop Locket";50;"Leffler Schuppe and Christiansen";16902
312;"Timeless Princess-Cut Tiny Charm";51;"White-Turner and Sons";1327
313;"Finely Detailed Gunmetal Precise Ring";51;"White-Turner and Sons";4397
314;"Lovely Funky Necklace";51;"White-Turner and Sons";18209
315;"Trendsetting Precious Colorful Pendant";51;"White-Turner and Sons";6942
316;"Gunmetal Silver One-Of-A-Kind Circlet";51;"White-Turner and Sons";4857
317;"Innovative Princess-Cut Armlet";52;"Sanford-Gusikowski and Sons";4422
318;"Ornate Delicate Brooch";52;"Sanford-Gusikowski and Sons";6085
319;"Slip-On Streamlined Intricate Earrings";52;"Sanford-Gusikowski and Sons";8756
320;"Sparkly Tiny Sale-Priced Pendant";53;"O'Conner Braun and Larson and Sons";10108
321;"Beaded Coordinating Brooch";53;"O'Conner Braun and Larson and Sons";18297
322;"Hand-Finished Dependable Lightweight Belly chain";53;"O'Conner Braun and Larson and Sons";16664
323;"Opaque Gold-Plated Sophisticated Charm";53;"O'Conner Braun and Larson and Sons";10547
324;"Bejeweled Edgy Circlet";53;"O'Conner Braun and Larson and Sons";10410
325;"Exotic Burnished Anklet";53;"O'Conner Braun and Larson and Sons";18358
326;"Individualist Bejeweled Radiant Armlet";53;"O'Conner Braun and Larson and Sons";14596
327;"Everyday Corrosion-Resistant Circlet";54;"Witting Hegmann and Abshire";61
328;"Premium-Grade Graceful Clustered Pendant";54;"Witting Hegmann and Abshire";3491
329;"Flawless Bold Circlet";54;"Witting Hegmann and Abshire";7183
330;"Studded Sparkling Prismatic Pendant";54;"Witting Hegmann and Abshire";11575
331;"Delicate Burnished Belly chain";54;"Witting Hegmann and Abshire";9451
332;"Exceptional Slender Charm";54;"Witting Hegmann and Abshire";6637
333;"Snag-Free Graceful Structural Hairpin";54;"Witting Hegmann and Abshire";5363
334;"Corrosion-Resistant Faceted Edgy Anklet";54;"Witting Hegmann and Abshire";2338
335;"Encased One-Of-A-Kind Gorgeous Hairpin";54;"Witting Hegmann and Abshire";14238
336;"Professional Hand-Crafted Set Necklace";55;"Upton Metz and Jakubowski and Co";937
337;"Gold Sporty Watch";55;"Upton Metz and Jakubowski and Co";15051
338;"Comfortable Funky Slender Anklet";55;"Upton Metz and Jakubowski and Co";3470
339;"Inlaid Gold-Toned Locket";55;"Upton Metz and Jakubowski and Co";7057
340;"Textured Round-Cut Sporty Charm";55;"Upton Metz and Jakubowski and Co";2687
341;"Lightweight Coordinating Earrings";55;"Upton Metz and Jakubowski and Co";6513
342;"Embellished Carved Pin";55;"Upton Metz and Jakubowski and Co";9685
343;"Chunky Sleek Pendant";55;"Upton Metz and Jakubowski and Co";10476
344;"Burnished Chic Flirty Pendant";56;"Mills Herzog and Kuhlman";13855
345;"Comfy Detailed Designer Armlet";56;"Mills Herzog and Kuhlman";6890
346;"Gold-Filled Radiant Belly chain";56;"Mills Herzog and Kuhlman";8282
347;"Rust-Resistant Original Earrings";56;"Mills Herzog and Kuhlman";13943
348;"Comfortable Burnished Dangly Ring";56;"Mills Herzog and Kuhlman";11235
349;"Tapered Clustered Belly chain";56;"Mills Herzog and Kuhlman";3430
350;"Sophisticated Tribal Belly chain";57;"Lemke-Flatley Ltd";24395
351;"Bejeweled Coordinating Hand-Finished Anklet";57;"Lemke-Flatley Ltd";6271
352;"Unique Lightweight Gunmetal Locket";57;"Lemke-Flatley Ltd";3330
353;"Durable Supportive Hairpin";58;"Skiles and Sons Ltd";5823
354;"Adjustable Cool Charm";58;"Skiles and Sons Ltd";19668
355;"Attention-Getting Prismatic Finely Detailed Bracelet";58;"Skiles and Sons Ltd";28654
356;"Polished Dangling Gold Locket";58;"Skiles and Sons Ltd";32370
357;"Wardrobe-Friendly Pierced Pin";58;"Skiles and Sons Ltd";12948
358;"Adorable Dramatic Hairpin";59;"Koss-McGlynn and Co";16540
359;"Snag-Free Multi-Faceted Teardrop Hairpin";59;"Koss-McGlynn and Co";15223
360;"Bold Beautiful Wooden Anklet";59;"Koss-McGlynn and Co";3097
361;"Crackled Dapper Watch";59;"Koss-McGlynn and Co";3920
362;"Rough-Cut Hand-Crafted Anklet";60;"Corkery Inc and Co";16696
363;"Inlaid Casual Attention-Getting Earrings";60;"Corkery Inc and Co";12754
